Date,Price,Open,High,Low,Change %
12/31/2024,"5,158.67","5,153.24","5,169.43","5,128.91",0.11%
12/30/2024,"5,153.24","5,129.64","5,162.99","5,129.64",0.46%
12/27/2024,"5,129.64","5,111.98","5,144.42","5,111.98",0.35%
12/26/2024,"5,111.98","5,082.91","5,122.72","5,073.55",0.56%
12/25/2024,"5,083.68","5,080.36","5,101.34","5,077.75",0.07%
12/24/2024,"5,080.36","5,057.10","5,086.28","5,039.96",0.48%
12/23/2024,"5,056.33","5,057.30","5,086.74","5,046.74",-0.02%
12/20/2024,"5,057.30","5,046.55","5,094.62","5,046.39",0.21%
12/19/2024,"5,046.55","5,037.07","5,052.46","4,990.36",0.19%
12/18/2024,"5,037.07","5,076.48","5,085.77","5,008.57",-0.84%
12/17/2024,"5,079.85","5,046.70","5,160.13","5,016.73",0.64%
12/16/2024,"5,047.54","4,829.63","5,050.25","4,826.14",4.51%
12/13/2024,"4,829.63","4,811.61","4,835.81","4,792.39",0.37%
12/12/2024,"4,811.61","4,796.17","4,815.26","4,776.14",0.34%
12/11/2024,"4,795.32","4,794.11","4,808.68","4,768.88",0.03%
12/10/2024,"4,794.11","4,849.80","4,865.43","4,772.87",-1.11%
12/09/2024,"4,848.11","4,856.14","4,879.53","4,831.77",-0.13%
12/06/2024,"4,854.45","4,822.05","4,858.83","4,813.95",0.71%
12/05/2024,"4,820.37","4,853.64","4,874.20","4,810.35",-0.69%
12/04/2024,"4,853.64","4,848.19","4,879.70","4,835.37",0.13%
11/29/2024,"4,847.34","4,825.06","4,865.56","4,813.16",0.50%
11/28/2024,"4,823.38","4,805.07","4,837.11","4,796.66",0.38%
11/27/2024,"4,805.07","4,828.83","4,850.49","4,803.20",-0.49%
11/26/2024,"4,828.83","4,765.79","4,828.83","4,762.63",1.27%
11/25/2024,"4,768.32","4,723.64","4,788.49","4,723.14",0.95%
11/22/2024,"4,723.64","4,729.58","4,749.71","4,720.30",-0.13%
11/21/2024,"4,729.58","4,759.83","4,759.83","4,694.44",-0.65%
11/20/2024,"4,760.67","4,731.72","4,781.52","4,731.03",0.61%
11/19/2024,"4,731.72","4,712.66","4,737.00","4,712.20",0.40%
11/18/2024,"4,712.66","4,739.76","4,739.76","4,703.76",-0.57%
11/15/2024,"4,739.76","4,729.23","4,749.54","4,693.57",0.22%
11/14/2024,"4,729.23","4,731.97","4,757.21","4,721.53",-0.08%
